id,type,bytes,filename,sha256,relpath,validation_ok
31,application/pdf,2058285,O-RAN.TIFG.E2ETSTFWK.0-v01.00__id-31.pdf,bffc70106a976b4a09d432772a122b18362f2a03cf0c50ef8f4cae5acfae7bbf,downloads/O-RAN.TIFG.E2ETSTFWK.0-v01.00__id-31.pdf,True
32,application/pdf,1585899,O-RAN.WG1.O1-Interface.0-v04.00.pdf,e56216c86b396d4c44c3a600f2facf0862b7c706a6b0464824d95f092197a7c2,downloads/O-RAN.WG1.O1-Interface.0-v04.00.pdf,True
33,application/pdf,3805951,O-RAN.WG1.OAM-Architecture-v04.00.pdf,355d24fa8c105ad1950ba3f457db646e02028305f8ff05b8e716db2ec4cefa7e,downloads/O-RAN.WG1.OAM-Architecture-v04.00.pdf,True
38,application/pdf,798845,O-RAN.WG1.Information Model and Data Models-v01.00.pdf,eca6a3ecf1f34501b1ffa6feb1c7f02db03982c3b0d343c0a758911cb0c42b93,downloads/O-RAN.WG1.Information Model and Data Models-v01.00.pdf,True
55,application/pdf,3009300,O-RAN.WG6.CLOUD-REF-v02.00.pdf,2d866f86e5e3a5f66211995a7274475aa2b81f57c95b8e7851a32c79c3121826,downloads/O-RAN.WG6.CLOUD-REF-v02.00.pdf,True
61,application/pdf,2637971,O-RAN.WG9.XTRP-REQ-v01.00.pdf,5fb7291d88b92c1f554fd720d7b28fa6e0458f2feae9eb6c2248ffdc441a648b,downloads/O-RAN.WG9.XTRP-REQ-v01.00.pdf,True
74,application/pdf,3902882,O-RAN.WG2.Non-RT-RIC-ARCH-TR-v01.01.pdf,366cb05674d3104148c4e2a83610bb441d6a38dfc97dadf76c0b23d8db915f8f,downloads/O-RAN.WG2.Non-RT-RIC-ARCH-TR-v01.01.pdf,True
90,application/pdf,807131,O-RAN.WG7.OMC-HAR.0-v01.00.pdf,2e8e9c983e097db97fab48dbedc32db2f006ccddbad820b63fd41147f8935222,downloads/O-RAN.WG7.OMC-HAR.0-v01.00.pdf,True
104,application/pdf,1292117,O-RAN.WG1.Study-on-O-RAN-Slicing-v02.00.pdf,c5ba3f9b6b6714e1a11fe43331d5e2a79dc235fb56ef6c294d0139606cc8f206,downloads/O-RAN.WG1.Study-on-O-RAN-Slicing-v02.00.pdf,True
123,application/pdf,771333,ORAN-WG3.E2SM-NI-v01.00.pdf,1f5e1012fb2d434e2088c54f5ec04d9bfc3c783f8476db913b8dfd7053fc5dfe,downloads/ORAN-WG3.E2SM-NI-v01.00.pdf,True
139,application/vnd.openxmlformats-officedocument.wordprocessingml.document,330957,O-RAN.WG5.Transport.0-v01.00.docx,9a87fa76d6536fe726eb1eb24ac0cc73c52d60708c33df1536e30628c16196c5,downloads/O-RAN.WG5.Transport.0-v01.00.docx,True
158,application/pdf,3692403,O-RAN.WG2.AIML-v01.03__id-158.pdf,afd260f0360d91e64516f637c17bdd25f24ec5594fe67429a48b5ffd69e4611c,downloads/O-RAN.WG2.AIML-v01.03__id-158.pdf,True
187,application/pdf,5104074,O-RAN.WG7.IPC-HRD-Opt8.0-v03.00.pdf,081806fa7e36a58dc6bfed233e59c31414e1c16f8ac190a01bafd6ba7edfd114,downloads/O-RAN.WG7.IPC-HRD-Opt8.0-v03.00.pdf,True
191,application/pdf,1185914,O-RAN.WG7.FHGW-HRD.0-v02.00.pdf,76f4e742bf4d832ce1c9e1a832795742c93b91f967294c0bb21eea7565681688,downloads/O-RAN.WG7.FHGW-HRD.0-v02.00.pdf,True
192,application/pdf,1801251,O-RAN.WG7.IPC-HRD-Opt6-v02.00.pdf,62c6c9f515c3764ffd7c905c598ee1873949bd6b02e4a8a286d10e478025bbb0,downloads/O-RAN.WG7.IPC-HRD-Opt6-v02.00.pdf,True
231,application/pdf,2961036,O-RAN.WG6.O2-GAnP-v01.02__id-231.pdf,713f3370a2b05ec2b0ac7c665672095ef594596888e7c186b402fb0b0e4f480c,downloads/O-RAN.WG6.O2-GAnP-v01.02__id-231.pdf,True
256,application/pdf,864131,O-RAN.SFG.Non-RT-RIC-Security-TR-v01.00.pdf,41b4e4d600c88bb2e662eb8daf4cbd6a1e2942b5e26b9aaaeeeca55dcc228202,downloads/O-RAN.SFG.Non-RT-RIC-Security-TR-v01.00.pdf,True
267,application/pdf,3591144,O-RAN.WG1.mMIMO-Use-Cases-TR-v01.00.pdf,042ac1000d6031ab80758e62902e723e7c2c6f21d2e7b51954e2a44e6c19831e,downloads/O-RAN.WG1.mMIMO-Use-Cases-TR-v01.00.pdf,True
348,application/pdf,556161,O-RAN.WG7.DSC.0-v04.00.pdf,9fe1cd2120c05b3f9492733f8374f4d4a976f69c06870c5677ee462f30353e15,downloads/O-RAN.WG7.DSC.0-v04.00.pdf,True
367,application/x-zip-compressed,16545,O-RAN.WG4.CTI-TMP-YANG-v03.00.zip,86fe1d528ba455d9f8da14f562cb0832d16c8a214e5937e9018f31f7ed61a1e1,downloads/O-RAN.WG4.CTI-TMP-YANG-v03.00.zip,True
395,application/vnd.openxmlformats-officedocument.wordprocessingml.document,118822,O-RAN.WG3.O1-Interface-for-Near-RT-RIC-R003-v01.00.docx,a8d98799bcff1b923aea0d8a0fb3855f42ae4d0ae66181f8ba6afd9256bb7195,downloads/O-RAN.WG3.O1-Interface-for-Near-RT-RIC-R003-v01.00.docx,True
396,application/vnd.openxmlformats-officedocument.wordprocessingml.document,449268,O-RAN.WG3.E2TS-R003-v02.00.docx,c7b25fb7d7f0269f03a75762c58d25316fb1384fb1e81f6f9b5dc274ddadf950,downloads/O-RAN.WG3.E2TS-R003-v02.00.docx,True
415,application/pdf,1449563,O-RAN.WG7.EMC-HAR-HRD.0-R003-v01.00.pdf,d9eeced166f401dbbefb757e1b87651e13c715261d681009c8a4d6ee0ae428e7,downloads/O-RAN.WG7.EMC-HAR-HRD.0-R003-v01.00.pdf,True
442,application/pdf,2677945,O-RAN.WG1.Network-Energy-Savings-Technical-Report-R003-v02.00.pdf,821cf468aa81aa0a3170db6003127a148767793e65dd8fa7b10a6b4ad81bf00c,downloads/O-RAN.WG1.Network-Energy-Savings-Technical-Report-R003-v02.00.pdf,True
458,application/pdf,3178470,O-RAN.WG4.CTI-TCP.0-R003-v04.00.pdf,9c108c795dc448880b5905878ed4618b205017c9ca5b1e013733d25ad6415253,downloads/O-RAN.WG4.CTI-TCP.0-R003-v04.00.pdf,True
